Date;Open;High;Low;Last Close;Chg.%;Total Value<sup>1</sup>;Total Volume<sup>1</sup>;
"09/27/2022";"92.0900";"92.0900";"89.9500";"89.9500";"-1.63%";"0";"0";
"09/28/2022";"89.3300";"89.3300";"87.3600";"89.2400";"-0.79%";"44,285";"502";
"09/29/2022";"89.4300";"89.4300";"87.9300";"87.9300";"-1.47%";"42,576";"480";
"09/30/2022";"88.6700";"89.0200";"88.6700";"89.0200";"+1.24%";"0";"0";
"10/03/2022";"87.2600";"89.3700";"87.2100";"89.3700";"+0.39%";"1,744";"20";
"10/04/2022";"91.0200";"94.6900";"91.0200";"94.6900";"+5.95%";"0";"0";
"10/05/2022";"94.8300";"94.8300";"93.3700";"93.3700";"-1.39%";"15,037";"160";
"10/06/2022";"93.8300";"93.8300";"93.0800";"93.0800";"-0.31%";"0";"0";
"10/07/2022";"93.7400";"93.7400";"92.4400";"92.4400";"-0.69%";"1,875";"20";
"10/10/2022";"92.0700";"92.8900";"92.0700";"92.8900";"+0.49%";"0";"0";
"10/11/2022";"92.6700";"93.6100";"92.6700";"93.6100";"+0.78%";"0";"0";
"10/12/2022";"93.7700";"93.7700";"93.0000";"93.2500";"-0.38%";"21,204";"228";
"10/13/2022";"93.6000";"97.0800";"93.6000";"97.0800";"+4.11%";"0";"0";
"10/14/2022";"98.7700";"98.7700";"96.7100";"96.7100";"-0.38%";"8,245";"84";
"10/17/2022";"97.2400";"99.3100";"97.2400";"99.3100";"+2.69%";"0";"0";
"10/18/2022";"100.4200";"101.6000";"100.4200";"100.4200";"+1.12%";"52,832";"520";
"10/19/2022";"100.6400";"101.0600";"100.6400";"101.0600";"+0.64%";"0";"0";
"10/20/2022";"100.2000";"101.3000";"100.2000";"101.3000";"+0.24%";"0";"0";
"10/21/2022";"100.9800";"100.9800";"99.9100";"100.9200";"-0.38%";"22,779";"228";
"10/24/2022";"103.0400";"103.0400";"102.6800";"102.6800";"+1.74%";"0";"0";
"10/25/2022";"103.2600";"104.3400";"102.9600";"104.3400";"+1.62%";"4,324";"42";
